Player,Tm,PER,BPM,VORP,WS,Team Mar,Year
Tom Boerwinkle,CHI,10.3,-2.8,0.0,0.2,-0.79,1978
Derrek Dickey,CHI,6.1,-6.6,-0.3,-0.1,-0.79,1978
Rudy White,HOU,6.4,-6.3,-0.2,-0.3,-3.66,1978
Johnny Neumann,IND,7.4,-7.4,-0.3,-0.1,-2.13,1978
Eddie Jordan,CLE,10.7,-4.3,-0.1,0.0,0.45,1978
Claude Terry,ATL,6.9,-7.3,-0.2,0.0,-0.09,1978
Jim Eakins,MIL,11.5,-1.6,0.0,0.3,-0.59,1978
Mark Crow,NJN,12.8,-4.1,-0.1,0.2,-4.89,1978
Zaid Abdul-Aziz,HOU,11.4,-4.0,-0.1,0.1,-3.66,1978
Don Chaney,LAL,7.2,-3.7,-0.1,0.0,2.37,1978
Gary Brokaw,BUF,13.3,-4.5,-0.1,0.1,-3.25,1978
Kevin Porter,DET,13.3,-3.7,-0.1,0.2,-1.14,1978
Dave Wohl,NJN,1.5,-9.3,-0.2,-0.2,-4.89,1978
Jim Ard,CHI,2.7,-6.2,-0.1,-0.1,-0.79,1978
Scott Lloyd,MIL,7.3,-4.2,-0.1,0.0,-0.59,1978
Larry Moffett,HOU,4.0,-4.1,-0.1,-0.1,-3.66,1978
Dale Schlueter,POR,6.0,-3.5,0.0,0.0,5.56,1978
Howard Porter,DET,7.0,-7.0,-0.1,0.0,-1.14,1978
Mike Dunleavy,HOU,15.7,-2.4,0.0,0.1,-3.66,1978
Wally Walker,POR,9.5,-4.1,-0.1,0.1,5.56,1978
Al Fleming,SEA,10.7,-3.8,0.0,0.0,1.41,1978
Scott Sims,SAS,5.2,-6.7,-0.1,-0.2,2.9,1978
Bobby Wilson,IND,6.6,-5.8,-0.1,0.0,-2.13,1978
Gus Gerard,BUF,13.5,-3.7,0.0,0.1,-3.25,1978
Kevin Restani,MIL,10.8,-4.4,-0.1,0.1,-0.59,1978
Larry McNeill,GSW,6.5,-8.5,-0.1,0.1,0.35,1978
Robin Jones,HOU,7.7,-5.8,-0.1,0.0,-3.66,1978
Eddie Owens,BUF,8.8,-4.5,0.0,0.0,-3.25,1978
Rich Laurel,MIL,7.5,-6.4,-0.1,0.0,-0.59,1978
Louie Nelson,KCK,2.4,-8.9,-0.1,-0.1,-1.55,1978
Jacky Dorsey,POR,14.4,-1.8,0.0,0.2,5.56,1978
Jim Bostic,DET,18.9,-1.4,0.0,0.1,-1.14,1978
Wilson Washington,PHI,5.5,-13.8,-0.1,-0.1,4.36,1978
Larry Johnson,BUF,8.0,-2.7,0.0,-0.1,-3.25,1978
Jacky Dorsey,DEN,9.2,-5.8,0.0,0.0,0.75,1978
Ron Behagen,HOU,11.6,-4.0,0.0,0.0,-3.66,1978
George Karl,SAS,3.4,-6.6,0.0,0.0,2.9,1978
Zaid Abdul-Aziz,BOS,11.5,-2.6,0.0,0.0,-1.68,1978
Glenn Mosley,PHI,0.6,-14.6,-0.1,-0.1,4.36,1978
Phil Bond,HOU,5.3,-5.8,0.0,0.0,-3.66,1978
Mike Dunleavy,PHI,17.4,-7.3,0.0,0.0,4.36,1978
Bob Bigelow,BOS,0.6,-20.3,-0.1,-0.1,-1.68,1978
Wayman Britt,DET,13.5,-4.4,0.0,0.0,-1.14,1978
Ticky Burden,NYK,6.9,-4.9,0.0,0.0,-0.47,1978
Steve Kuberski,BOS,0.6,-15.5,0.0,0.0,-1.68,1978
John Johnson,HOU,-2.6,-10.1,0.0,-0.1,-3.66,1978
Willie Wise,SEA,-5.9,-15.6,0.0,0.0,1.41,1978
Norm Cook,DEN,3.8,-4.5,0.0,0.0,0.75,1978
Andre McCarter,KCK,-7.2,-13.7,0.0,0.0,-1.55,1978
Glenn Hansen,KCK,-10.9,-9.9,0.0,-0.1,-1.55,1978
Jim Ard,BOS,9.4,-3.7,0.0,0.0,-1.68,1978
Dean Tolson,SEA,-7.1,-21.4,0.0,0.0,1.41,1978
Bob Bigelow,KCK,21.4,-5.7,0.0,0.0,-1.55,1978
Willie Smith,IND,2.0,-11.1,0.0,0.0,-2.13,1978
Glenn Hansen,CHI,-28.8,-29.2,0.0,-0.1,-0.79,1978
Moses Malone,HOU,23.7,4.0,5.1,14.1,0.92,1979
Artis Gilmore,CHI,22.3,4.2,5.1,12.7,-3.55,1979
M.L. Carr,DET,16.3,3.5,4.4,7.9,-2.38,1979
Kareem Abdul-Jabbar,LAL,25.5,7.1,7.2,14.4,2.72,1979
Norm Nixon,LAL,18.2,1.7,2.9,9.6,2.72,1979
Randy Smith,SDC,16.6,-0.1,1.5,5.8,-1.64,1979
Elvin Hayes,WSB,19.1,1.7,2.9,9.4,4.38,1979
John Lucas,GSW,16.9,0.7,2.1,7.9,0.45,1979
Kevin Porter,DET,17.2,-1.8,0.1,6.2,-2.38,1979
Johnny Davis,IND,14.7,-1.2,0.6,5.2,-1.31,1979
Cedric Maxwell,BOS,19.9,4.0,4.5,11.7,-4.45,1979
Jack Sikma,SEA,16.3,2.0,3.0,8.8,2.51,1979
World B. Free,SDC,22.1,1.1,2.3,10.1,-1.64,1979
Larry Kenon,SAS,19.8,3.6,4.1,8.8,4.4,1979
Calvin Murphy,HOU,16.1,0.0,1.5,6.8,0.92,1979
Jamaal Wilkes,LAL,16.4,1.1,2.3,6.9,2.72,1979
Sonny Parker,GSW,15.5,2.7,3.5,7.0,0.45,1979
George Gervin,SAS,23.2,2.8,3.5,11.4,4.4,1979
Bernard King,NJN,17.9,2.3,3.1,6.5,-3.56,1979
Campy Russell,CLE,18.6,1.8,2.8,6.7,-3.38,1979
Jim Chones,CLE,13.7,-0.9,0.8,3.3,-3.38,1979
Otis Birdsong,KCK,18.4,2.5,3.2,8.8,2.41,1979
Ricky Sobers,IND,14.8,0.3,1.6,4.3,-1.31,1979
Julius Erving,PHI,20.1,3.5,3.9,7.9,1.57,1979
Tom Owens,POR,19.9,3.6,4.0,10.4,1.05,1979
Marques Johnson,MIL,23.9,4.8,4.7,12.2,1.87,1979
Kermit Washington,SDC,15.0,2.1,2.9,6.9,-1.64,1979
